Chapter,English,French,Pages
J-1,Judges,Juges,23-38
J-2,"Justice, Department of",Justice (Ministere),39-40
J-3,Juvenile Delinquents,Jeunes delinquants,41-62
L-1,"Labour Code, Canada",Code canadien du travail,63-138
L-2,"Labour, Department of",Travail (Ministere),139-140
L-3,"Labour, Fair Wages and Hours of",Justes salaires et heures de travail,141-144
L-4,Land Titles,Titres de biens-fonds,145-228
L-5,"Lands Surveys, Canada",Arpentage des terres du Canada,229-258
L-6,Length and Mass Units,Unites de longueur et de masse,259-260
L-7,Library of Parliament,Bibliotheque du Parlement,261-262
L-8,Livestock and Livestock Products,Animaux de ferine et leurs produits,263-284
L-9,Livestock Feed Assistance,Aide a l'alimentation des animaux de ferme,285-296
L-10,Livestock Pedigree,Genealogie des animaux,297-310
L-11,Livestock Shipping,Expedition du betail,311-316
L-12,Loan Companies,Compagnies de pret,317-384
L-13,Lord's Day,Dimanche,385-392
M-1,"Manpower and Immigration, Department of",Main-d'oeuvre et Immigration (Ministere),393-394
M-2,Maple Products Industry,Industrie de la produits de l'erable,395-400
M-3,Maritime Freight Rates,Taux de transport des marchandises dans les provinces Maritimes,401-406
M-4,Maritime Marshland Rehabilitation,Utilisation des terrains marecageux des provinces Maritimes,407-410
M-5,Marriage,Mariage,411-412
M-6,Meat and Canned Foods,Viandes et conserves alimentaires,413-426
M-7,Meat Inspection,Inspection des viandes,427-432
M-8,Medical Care,Soins medicaux,433-442
M-9,Medical Research Council,Conseil de recherches medicales,443-448
M-10,Members of Parliament Retiring Allowances,Allocations de retraite des membres du Parlement,449-462
M-11,Merchant Seamen Compensation,Indemnisation des marins marchands,463-484
M-12,Migratory Birds Convention,Oiseaux migrateurs (Convention),485-494
M-13,Milk Test,Essai du lait,495-496
M-14,Motor Vehicle Transport,Transport par vehicule a moteur,497-500
M-15,Municipal Grants,Subventions aux municipality,501-506
M-16,Municipal Improvements Assistance,Aide aux ameliorations municipales,507-512
N-1,Narcotic Control,Stupefiants,513-528
N-2,National Arts Centre,Centre national des Arts,529-534
N-3,National Capital,Capitale nationale,535-548
N-4,National Defence,Defense nationale,549-668
N-5,National Design Council,Conseil d'esthetique industrielle,669-672
N-6,National Energy Board,Office national de l'energie,673-708
N-7,National Film,Office national du film,709-718
N-8,National Harbours Board,Conseil des ports nationaux,719-742
N-9,"National Health and Welfare, Department of",Sante et Bien-etre social (Ministere),743-746
N-10,National Housing,Habitation (Loi nationale),747-808
N-11,National Library,Bibliotheque nationale,809-814
N-12,National Museums,Musses nationaux,815-822
N-13,National Parks,Parcs nationaux,823-868
N-14,National Research Council,Conseil national de recherches,869-876
N-15,"National Revenue, Department of",Revenu national (Ministere),877-878
N-16,National Trade Mark and True Labelling,Marque de commerce nationale et etiquetage exact,879-882
N-17,National Transportation,Transports (Loi nationale),883-932
N-18,National Wildlife Week,Semaine de la conservation de la faune,933-934
N-19,Navigable Waters Protection,Protection des eaux navigables,935-946
N-20,Newfoundland Additional Financial Assistance,Supplement d'aide financiere Terre-Neuve,947-948
N-21,Northern Canada Power Commission,Commission d'energie du Nord canadien,949-960
N-22,Northwest Territories,Territoires du Nord-Ouest,961-988
O-1,Oaths of Allegiance,Serments d'allegeance,989-990
O-2,Official Languages,Langues officielles,991-1010
O-3,Official Secrets,Secrets officiels,1011-1022
O-4,Oil and Gas Production and Conservation,Production et conservation du petrole et du gaz,1023-1054
O-5,Old Age Assistance,Assistance-vieillesse,1055-1064
O-6,Old Age Security,Securite de la vieillesse,1065-1083